seed,step,fidelity,reward
42,500,0.2507305719206758,0.7813051918322618
42,1000,0.40816642677583037,0.7813051918322618
42,1500,0.3904613467770053,0.7813051918322618
42,2000,0.42533715065417776,0.7813051918322618
42,2500,0.4181358570887315,0.7813051918322618
42,3000,0.4438334506114135,0.7813051918322618
42,3500,0.468606140823616,0.7813051918322618
42,4000,0.47997619536134156,0.7813051918322618
42,4500,0.42672366158891273,0.7813051918322618
42,5000,0.43497430052033736,0.7813051918322618
42,5500,0.4552863269174134,0.7813051918322618
42,6000,0.4728073142930696,0.7813051918322618
42,6500,0.460971887492013,0.7813051918322618
42,7000,0.4684451803985693,0.7813051918322618
42,7500,0.43290891636093876,0.7813051918322618
42,8000,0.46921474496272036,0.7813051918322618
42,8500,0.44003824931916974,0.801749834274476
42,9000,0.49330933069633454,0.801749834274476
42,9500,0.47412361402334036,0.801749834274476
42,10000,0.5014364984496446,0.801749834274476
123,500,0.2889789640481315,0.8215126771974566
123,1000,0.37694131199503944,0.8215126771974566
123,1500,0.4008845021452646,0.8215126771974566
123,2000,0.37013469978513436,0.8215126771974566
123,2500,0.38270828290574893,0.8215126771974566
123,3000,0.4027628567680912,0.8215126771974566
123,3500,0.376008518163415,0.8215126771974566
123,4000,0.4063910218017452,0.8215126771974566
123,4500,0.39351695080484594,0.8215126771974566
123,5000,0.40790510458086876,0.8215126771974566
123,5500,0.4112711317543537,0.8215126771974566
123,6000,0.41962965843535927,0.8215126771974566
123,6500,0.4135304925168408,0.8215126771974566
123,7000,0.4073870254356309,0.8215126771974566
123,7500,0.4762272082543392,0.8215126771974566
123,8000,0.48058967521669993,0.8215126771974566
123,8500,0.46468735360486524,0.8215126771974566
123,9000,0.46841553096474686,0.8215126771974566
123,9500,0.49158177472833586,0.8215126771974566
123,10000,0.4560797255229826,0.8215126771974566
456,500,0.24608453992210624,0.695873784880158
456,1000,0.37009908869495134,0.7493691709273316
456,1500,0.37750364413599335,0.7493691709273316
456,2000,0.403642892607196,0.7493691709273316
456,2500,0.4388116469700345,0.7493691709273316
456,3000,0.4567738787787226,0.7493691709273316
456,3500,0.4557834295332099,0.7493691709273316
456,4000,0.40744706978029555,0.7493691709273316
456,4500,0.4011073732322694,0.7493691709273316
456,5000,0.4478210913534354,0.7493691709273316
456,5500,0.4425395214850879,0.7493691709273316
456,6000,0.4815452350508265,0.7493691709273316
456,6500,0.44920884993505045,0.7493691709273316
456,7000,0.4524716756174036,0.7493691709273316
456,7500,0.44895391747571717,0.7548508868272623
456,8000,0.4428811342050172,0.7548508868272623
456,8500,0.4415738687507682,0.7548508868272623
456,9000,0.4922430520100113,0.7548508868272623
456,9500,0.5003183532101871,0.7548508868272623
456,10000,0.495233421654018,0.7548508868272623
