Experiment,Hardware_Profile,Target,Algorithm,N_Qubits,Mean_Fidelity,Std_Fidelity,Best_Fidelity,Convergence_Episode
E1,simos_nominal,CZ,DQL,2,0.9998,0.0001,0.9999,35
E1,simos_nominal,CZ,SARSA,2,0.2500,0.0000,0.2500,-
E1,simos_nominal,CZ,PPO,2,1.0000,0.0000,1.0000,15
E2,donor_electron,Universal,DQN,2,0.9999,0.0000,0.9999,20
E3,singlet_triplet,CZ,DQN,2,0.9990,0.0002,0.9995,45
E4,simos_nominal,GHZ,PPO,3,0.9985,0.0010,0.9999,2500
E4,simos_nominal,W,PPO,3,0.9970,0.0015,0.9995,3200
E4,simos_nominal,Cluster,PPO,3,0.9965,0.0020,0.9992,4100
